longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-1.327835222,1.052548283,0.982142658,-0.804819097,-0.975227851,-0.974428597,-0.977032854,2.344765758,2.129631482,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.322843914,1.043184552,-0.607018913,2.045890099,1.355088197,0.861438868,1.669961028,2.332237964,1.314156137,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.332826529,1.038502686,1.856181523,-0.535745886,-0.829732171,-0.820777352,-0.843636917,1.782699403,1.258693414,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.337817836,1.038502686,1.856181523,-0.624214591,-0.722399293,-0.766028058,-0.73378144,0.932967509,1.16510007,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.337817836,1.038502686,1.856181523,-0.462403954,-0.615066414,-0.759846686,-0.629157176,-0.012880996,1.172899515,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.337817836,1.038502686,1.856181523,-0.786942001,-0.774873144,-0.894070762,-0.801787211,0.087446638,0.544610859,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.337817836,1.03382082,1.856181523,-0.046188494,-0.116564824,-0.292711578,0.037822508,-0.111366307,0.800259347,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.337817836,1.03382082,1.856181523,0.21463375,0.355699841,-0.23707923,0.385698186,-0.39513665,0.299361632,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.03382082,1.061600737,-0.037020752,0.303225989,-0.193809627,0.249686643,-0.942359147,0.171970691,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.337817836,1.03382082,1.856181523,0.418615996,0.403403342,0.110843704,0.560943828,-0.094469575,0.470082826,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.038502686,1.856181523,-0.198831388,-0.247749453,-0.455193354,-0.255125432,-0.351394643,0.646870254,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.038502686,1.856181523,0.397530191,0.510736221,0.069340207,0.61325596,-0.315916771,0.302828053,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.038502686,1.856181523,-0.066357525,-0.15234245,-0.289179365,-0.082495396,-0.418823656,0.057578826,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.03382082,1.856181523,-0.889162318,-0.827346996,-0.954118375,-0.851483737,-0.630111758,-0.134807494,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.038502686,1.856181523,0.00331731,0.210204161,-0.188511308,0.315076808,-1.028527214,-0.412987712,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.038502686,1.697265365,-0.6948062,-0.607910889,-0.643283672,-0.616079143,-0.918882691,-0.57937588,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.038502686,1.856181523,-0.307010737,-0.455259684,-0.558510571,-0.4408335,-0.576737036,-0.47105025,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.038502686,1.856181523,-0.645300396,-0.584059138,-0.686553276,-0.514070485,-0.921409305,-0.445052099,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.342809143,1.03382082,1.697265365,-0.181871067,-0.197660776,-0.384549104,-0.210660119,-0.989364696,-0.417320737,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.03382082,1.856181523,-0.519243951,-0.572133263,-0.649465044,-0.58730747,-0.667116127,-0.380923326,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.038502686,0.90268458,-0.863951029,-0.844043222,-0.897602975,-0.87240859,-1.32271984,-0.514380502,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.038502686,1.061600737,-0.45690331,-0.407556183,-0.438415345,-0.349287269,-1.13548721,-0.407788082,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.03382082,1.856181523,-0.091568814,0.00746428,-0.362472775,-0.05633933,-1.129433864,-0.805559796,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.03382082,1.856181523,-0.434442343,-0.479111435,-0.505527383,-0.45652714,-0.889616078,-0.928617712,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.34780045,1.03382082,1.856181523,-0.188746873,-0.240593928,-0.370420254,-0.2028133,-0.668853174,-0.643504653,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.352791757,1.038502686,0.982142658,-0.962962636,-0.989538901,-0.978843863,-0.9953421,-0.772128524,-0.861022519,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.352791757,1.038502686,1.617807287,-0.690222329,-0.700932717,-0.722758454,-0.681469308,-0.742703998,-0.97974741,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.352791757,1.038502686,1.856181523,-0.338181058,-0.278756729,-0.285647153,-0.268203465,-1.085744495,-0.87835462,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.352791757,1.03382082,1.697265365,-0.253837837,-0.109409299,-0.260038612,-0.069417363,-1.172912681,-0.848890048,-0.681889048,-0.015566206,2.830742029,-0.384466489
-1.352791757,1.03382082,1.856181523,-0.874035544,-0.901287423,-0.909965718,-0.901180262,-1.149173036,-0.648704284,-0.681889048,-0.015566206,2.830742029,-0.384466489
