Customer_Number,Division
11569,Housewares Division
11569,Health Products Division
11569,Automotive Division
11569,Personal Electronics Division
11569,Novelty Gift Division
13714,Housewares Division
13714,Health Products Division
13714,Automotive Division
13714,Personal Electronics Division
13714,Garden Division
13714,Novelty Gift Division
13714,Jewelry Division
46391,Housewares Division
46391,Health Products Division
46391,Automotive Division
46391,Personal Electronics Division
46391,Garden Division
46391,Novelty Gift Division
46391,Jewelry Division
67264,Health Products Division
67264,Automotive Division
67264,Personal Electronics Division
67264,Garden Division
67264,Novelty Gift Division
67363,Health Products Division
67363,Personal Electronics Division
67363,Garden Division
67363,Novelty Gift Division
72553,Housewares Division
72553,Health Products Division
72553,Automotive Division
72553,Personal Electronics Division
72553,Garden Division
72553,Novelty Gift Division
72553,Jewelry Division
79814,Housewares Division
79814,Health Products Division
79814,Personal Electronics Division
79814,Garden Division
80903,Housewares Division
80903,Health Products Division
80903,Personal Electronics Division
80903,Novelty Gift Division
91439,Health Products Division
91439,Automotive Division
91439,Personal Electronics Division
91439,Garden Division
91439,Jewelry Division
96701,Housewares Division
96701,Health Products Division
96701,Automotive Division
96701,Personal Electronics Division
96701,Garden Division
96701,Novelty Gift Division
96701,Jewelry Division
98517,Clothing Division
98517,Housewares Division
98517,Health Products Division
98517,Automotive Division
98517,Personal Electronics Division
98517,Garden Division
98517,Novelty Gift Division
98517,Jewelry Division
104356,Health Products Division
104356,Personal Electronics Division
104356,Garden Division
104356,Novelty Gift Division
132829,Housewares Division
132829,Health Products Division
132829,Personal Electronics Division
132829,Novelty Gift Division
132829,Jewelry Division
155424,Housewares Division
155424,Health Products Division
155424,Personal Electronics Division
155424,Computers Division
155424,Garden Division
155424,Novelty Gift Division
155424,Jewelry Division
163055,Housewares Division
163055,Health Products Division
163055,Personal Electronics Division
163055,Garden Division
163055,Novelty Gift Division
163055,Jewelry Division
244756,Health Products Division
244756,Automotive Division
244756,Personal Electronics Division
244756,Garden Division
261198,Housewares Division
261198,Health Products Division
261198,Personal Electronics Division
261198,Garden Division
261198,Novelty Gift Division
261198,Jewelry Division
265041,Housewares Division
265041,Health Products Division
265041,Personal Electronics Division
265041,Novelty Gift Division
277251,Health Products Division
277251,Personal Electronics Division
285023,Health Products Division
285023,Automotive Division
285023,Personal Electronics Division
285023,Garden Division
285023,Jewelry Division
298000,Clothing Division
298000,Housewares Division
298000,Health Products Division
298000,Personal Electronics Division
298000,Jewelry Division
311985,Housewares Division
311985,Health Products Division
311985,Personal Electronics Division
311985,Garden Division
311985,Novelty Gift Division
311985,Jewelry Division
339184,Health Products Division
339184,Automotive Division
339184,Personal Electronics Division
339184,Garden Division
339184,Novelty Gift Division
