No,Cement,Slag,Fly ash,Water,SP,Coarse Aggr.,Fine Aggr.,Air Entrainment,Compressive Strength (28-day)(Mpa)
1,273,82,105,210,9,904,680,0,34.99
4,162,148,190,179,19,838,741,0,42.08
5,154,112,144,220,10,923,658,0,26.82
7,152,139,178,168,18,944,695,0,38.86
9,152,0,237,204,6,785,892,0,32.71
10,304,0,140,214,6,895,722,0,38.46
11,145,106,136,208,10,751,883,0,26.02
15,374,0,0,190,7,1013,730,0,32.44
17,153,0,239,200,6,1002,684,0,28.29
22,310,0,143,218,10,787,804,0,36.19
25,142,130,167,174,11,883,785,0,36.72
26,140,128,164,183,12,871,775,0,33.38
27,308,111,142,217,10,783,686,0,42.08
28,295,106,136,208,6,871,650,0,39.4
29,298,107,137,201,6,878,655,0,41.27
30,314,0,161,207,6,851,757,0,41.14
32,349,0,178,230,6,785,721,0,43.95
33,366,0,187,191,7,824,757,0,52.65
34,274,89,115,202,9,759,827,0,35.52
36,275,99,127,184,13,810,790,0,43.54
38,165,150,0,182,12,1023,729,0,18.26
43,160,146,188,203,11,829,710,0,33.51
44,291,105,0,205,6,859,797,0,27.62
47,280,92,118,207,9,883,679,0,37.39
48,287,94,121,188,9,904,696,0,43.01
50,326,0,167,174,6,884,792,0,52.65
51,320,0,163,188,9,866,776,0,45.69
54,309,0,142,218,10,912,680,0,38.59
55,322,0,149,186,8,951,709,0,45.42
57,307,110,0,189,10,904,765,0,31.5
59,143,131,168,217,6,891,672,0,26.42
61,278,0,117,205,9,875,799,0,32.71
62,288,0,121,177,7,908,829,0,39.93
64,291,104,0,231,9,857,725,0,30.43
65,265,86,111,195,6,833,790,0,37.39
66,159,0,248,175,12,1041,683,0,35.39
68,166,0,260,183,13,859,827,0,40.34
70,336,134,0,222,6,756,787,0,31.9
71,276,90,116,180,9,870,768,0,44.08
72,313,112,0,220,10,794,789,0,28.16
73,322,116,0,196,10,818,813,0,29.77
74,294,106,136,207,6,747,778,0,41.27
78,261,78,100,201,9,864,761,0,34.18
81,140.1,4.2,215.9,193.9,4.7,1049.5,710.1,0,26.42
83,160.2,0.3,240,233.5,9.2,781,841.1,0,36.19
85,140.2,44.8,234.9,171.3,5.5,1047.6,704,0,33.78
90,150.3,111.4,238.8,167.3,6.5,999.5,670.5,0,38.19
91,155.4,122.1,240,179.9,6.7,966.8,652.5,0,35.52
92,165.3,143.2,238.3,200.4,7.1,883.2,652.6,0,32.84
93,303.8,0.2,239.8,236.4,8.3,780.1,715.3,0,44.48
94,172,162.1,238.5,166,7.4,953.3,641.4,0,41.54
95,172.8,158.3,239.5,166.4,7.4,952.6,644.1,0,41.81
98,295.3,0,239.9,236.2,8.3,780.3,722.9,0,44.08
99,248.3,101,239.1,168.9,7.7,954.2,640.6,0,49.97
100,248,101,239.9,169.1,7.7,949.9,644.1,0,50.23
103,348.7,0.1,223.1,208.5,9.6,786.2,758.1,0,48.77
2,163,149,191,180,12,843,746,1,32.272
3,162,148,191,179,16,840,743,1,35.45
6,147,89,115,202,9,860,829,1,18.107
8,145,0,227,240,6,750,853,1,27.519
12,148,109,139,193,7,768,902,1,20.938
13,142,130,167,215,6,735,836,1,24.665
14,354,0,0,234,6,959,691,1,27.47
16,159,116,149,175,15,953,720,1,27.315
18,295,106,136,206,11,750,766,1,30.857
19,310,0,143,168,10,914,804,1,41.949
20,296,97,0,219,9,932,685,1,20.73
21,305,100,0,196,10,959,705,1,22.212
23,148,180,0,183,11,972,757,1,10.685
24,146,178,0,192,11,961,749,1,12.131
31,321,0,164,190,5,870,774,1,40.2
35,137,167,214,226,6,708,757,1,28.935
37,252,76,97,194,8,835,821,1,24.585
39,158,0,246,174,7,1035,706,1,29.552
40,156,0,243,180,11,1022,698,1,25.821
41,145,177,227,209,11,752,715,1,29.349
42,154,141,181,234,11,797,683,1,26.682
45,298,107,0,186,6,879,815,1,23.211
46,318,126,0,210,6,861,737,1,23.204
49,332,0,170,160,6,900,806,1,52.245
52,342,136,0,225,11,770,747,1,23.594
53,356,142,0,193,11,801,778,1,31.001
56,159,193,0,208,12,821,818,1,14.877
58,313,124,0,205,11,846,758,1,20.687
60,140,128,164,237,6,869,656,1,22.896
63,299,107,0,210,10,881,745,1,22.431
67,160,0,250,168,12,1049,688,1,31.167
69,320,127,164,211,6,721,723,1,38.697
75,146,106,137,209,6,875,765,1,18.302
76,149,109,139,193,6,892,780,1,18.344
77,159,0,187,176,11,990,789,1,25.281
79,140,1.4,198.1,174.9,4.4,1049.9,780.5,1,23.175
80,141.1,0.6,209.5,188.8,4.6,996.1,789.2,1,23.573
82,140.1,11.8,226.1,207.8,4.9,1020.9,683.8,1,20.353
84,140.2,30.5,239,169.4,5.3,1028.4,742.7,1,30.967
86,140.5,61.1,238.9,182.5,5.7,1017.7,681.4,1,25.725
87,143.3,91.8,239.8,200.8,6.2,964.8,647.1,1,20.991
88,194.3,0.3,240,234.2,8.9,780.6,811.3,1,30.974
89,150.4,110.9,239.7,168.1,6.5,1000.2,667.2,1,32.217
96,184.3,153.4,239.2,179,7.5,920.2,640.9,1,33.672
97,215.6,112.9,239,198.7,7.4,884,649.1,1,33.491
101,258.8,88,239.6,175.3,7.6,938.9,646,1,43.461
102,297.1,40.9,239.9,194,7.5,908.9,651.8,1,44.639
